,realtime_start,date,gdp_value
0,1992-12-22,1946-01-01,199.7
2,1997-05-07,1946-01-01,210.4
4,1992-12-22,1946-04-01,207.7
6,1997-05-07,1946-04-01,218.5
8,1992-12-22,1946-07-01,217.9
10,1997-05-07,1946-07-01,228.6
12,1992-12-22,1946-10-01,222.2
14,1997-05-07,1946-10-01,232.8
16,1992-12-22,1947-01-01,226.7
18,1997-05-07,1947-01-01,237.4
20,2000-04-27,1947-01-01,237.5
21,2003-12-10,1947-01-01,237.2
22,2013-07-31,1947-01-01,243.1
23,2017-10-27,1947-01-01,243.08
24,2018-07-27,1947-01-01,243.16400000000002
25,1992-12-22,1947-04-01,230.6
27,1997-05-07,1947-04-01,240.9
29,2000-04-27,1947-04-01,240.7
30,2003-12-10,1947-04-01,240.5
31,2009-07-31,1947-04-01,240.4
32,2013-07-31,1947-04-01,246.3
33,2017-10-27,1947-04-01,246.267
34,2018-07-27,1947-04-01,245.968
35,1992-12-22,1947-07-01,234.9
37,1997-05-07,1947-07-01,245.1
39,2000-04-27,1947-07-01,244.9
40,2003-12-10,1947-07-01,244.6
41,2009-07-31,1947-07-01,244.5
42,2013-07-31,1947-07-01,250.1
43,2017-10-27,1947-07-01,250.115
44,2018-07-27,1947-07-01,249.585
45,1992-12-22,1947-10-01,245.0
47,1997-05-07,1947-10-01,255.0
49,2000-04-27,1947-10-01,254.7
50,2003-12-10,1947-10-01,254.4
51,2009-07-31,1947-10-01,254.3
52,2013-07-31,1947-10-01,260.3
53,2017-10-27,1947-10-01,260.309
54,2018-07-27,1947-10-01,259.745
55,1992-12-22,1948-01-01,251.1
57,1997-05-07,1948-01-01,260.8
59,2000-04-27,1948-01-01,260.8
60,2003-12-10,1948-01-01,260.4
61,2009-07-31,1948-01-01,260.3
62,2013-07-31,1948-01-01,266.2
63,2017-10-27,1948-01-01,266.173
64,2018-07-27,1948-01-01,265.742
65,1992-12-22,1948-04-01,258.3
67,1997-05-07,1948-04-01,267.9
69,2000-04-27,1948-04-01,267.7
70,2003-12-10,1948-04-01,267.3
71,2013-07-31,1948-04-01,272.9
72,2017-10-27,1948-04-01,272.897
73,2018-07-27,1948-04-01,272.567
74,1992-12-22,1948-07-01,265.3
76,1997-05-07,1948-07-01,274.4
78,2000-04-27,1948-07-01,274.3
79,2003-12-10,1948-07-01,273.9
80,2009-07-31,1948-07-01,273.8
81,2013-07-31,1948-07-01,279.5
82,2017-10-27,1948-07-01,279.497
83,2018-07-27,1948-07-01,279.19599999999997
84,1992-12-22,1948-10-01,266.6
86,1997-05-07,1948-10-01,275.8
88,2000-04-27,1948-10-01,275.6
89,2003-12-10,1948-10-01,275.2
90,2009-07-31,1948-10-01,275.1
91,2013-07-31,1948-10-01,280.7
92,2017-10-27,1948-10-01,280.656
93,2018-07-27,1948-10-01,280.366
94,1992-12-22,1949-01-01,261.6
96,1997-05-07,1949-01-01,270.6
98,2000-04-27,1949-01-01,270.4
99,2003-12-10,1949-01-01,270.0
100,2009-07-31,1949-01-01,269.9
101,2013-07-31,1949-01-01,275.4
102,2017-10-27,1949-01-01,275.37
103,2018-07-27,1949-01-01,275.034
104,1992-12-22,1949-04-01,258.1
106,1997-05-07,1949-04-01,266.7
108,2000-04-27,1949-04-01,266.6
109,2003-12-10,1949-04-01,266.2
110,2013-07-31,1949-04-01,271.7
111,2017-10-27,1949-04-01,271.692
112,2018-07-27,1949-04-01,271.351
113,1992-12-22,1949-07-01,259.9
115,1997-05-07,1949-07-01,268.1
117,2000-04-27,1949-07-01,268.0
118,2003-12-10,1949-07-01,267.7
119,2009-07-31,1949-07-01,267.6
120,2013-07-31,1949-07-01,273.3
121,2017-10-27,1949-07-01,273.262
122,2018-07-27,1949-07-01,272.889
123,1992-12-22,1949-10-01,257.7
125,1997-05-07,1949-10-01,265.7
127,2000-04-27,1949-10-01,265.6
128,2003-12-10,1949-10-01,265.2
129,2013-07-31,1949-10-01,271.0
130,2017-10-27,1949-10-01,270.98400000000004
131,2018-07-27,1949-10-01,270.627
132,1992-12-22,1950-01-01,268.3
134,1997-05-07,1950-01-01,276.0
136,2000-04-27,1950-01-01,275.7
137,2003-12-10,1950-01-01,275.2
138,2013-07-31,1950-01-01,281.2
139,2017-10-27,1950-01-01,281.209
140,2018-07-27,1950-01-01,280.828
141,1992-12-22,1950-04-01,277.9
143,1997-05-07,1950-04-01,285.3
145,2000-04-27,1950-04-01,285.1
146,2003-12-10,1950-04-01,284.6
147,2009-07-31,1950-04-01,284.5
148,2013-07-31,1950-04-01,290.7
149,2017-10-27,1950-04-01,290.735
150,2018-07-27,1950-04-01,290.383
151,1992-12-22,1950-07-01,295.3
153,1997-05-07,1950-07-01,302.8
155,2000-04-27,1950-07-01,302.5
156,2003-12-10,1950-07-01,302.0
157,2009-07-31,1950-07-01,301.9
158,2013-07-31,1950-07-01,308.5
159,2017-10-27,1950-07-01,308.51
160,2018-07-27,1950-07-01,308.153
161,1992-12-22,1950-10-01,306.7
163,1997-05-07,1950-10-01,314.4
165,2000-04-27,1950-10-01,313.9
166,2003-12-10,1950-10-01,313.4
167,2009-07-31,1950-10-01,313.3
168,2013-07-31,1950-10-01,320.3
169,2017-10-27,1950-10-01,320.32
170,2018-07-27,1950-10-01,319.945
171,1992-12-22,1951-01-01,321.6
173,1997-05-07,1951-01-01,329.5
175,2000-04-27,1951-01-01,329.3
176,2003-12-10,1951-01-01,329.0
177,2013-07-31,1951-01-01,336.4
178,2017-10-27,1951-01-01,336.37199999999996
179,2018-07-27,1951-01-01,336.0
180,1992-12-22,1951-04-01,329.1
182,1997-05-07,1951-04-01,337.1
184,2000-04-27,1951-04-01,336.9
185,2003-12-10,1951-04-01,336.7
186,2009-07-31,1951-04-01,336.6
187,2013-07-31,1951-04-01,344.5
188,2017-10-27,1951-04-01,344.455
189,2018-07-27,1951-04-01,344.09
190,1992-12-22,1951-07-01,335.8
192,1997-05-07,1951-07-01,344.0
194,2000-04-27,1951-07-01,343.7
195,2003-12-10,1951-07-01,343.6
196,2009-07-31,1951-07-01,343.5
197,2013-07-31,1951-07-01,351.8
198,2017-10-27,1951-07-01,351.774
199,2018-07-27,1951-07-01,351.385
200,1992-12-22,1951-10-01,340.0
202,1997-05-07,1951-10-01,348.4
204,2000-04-27,1951-10-01,348.1
205,2003-12-10,1951-10-01,348.0
206,2009-07-31,1951-10-01,347.9
207,2013-07-31,1951-10-01,356.6
208,2017-10-27,1951-10-01,356.579
209,2018-07-27,1951-10-01,356.17800000000005
210,1992-12-22,1952-01-01,343.2
212,1997-05-07,1952-01-01,351.7
214,2000-04-27,1952-01-01,351.5
215,2003-12-10,1952-01-01,351.3
216,2009-07-31,1952-01-01,351.2
217,2013-07-31,1952-01-01,360.2
218,2017-10-27,1952-01-01,360.195
219,2018-07-27,1952-01-01,359.82
220,1992-12-22,1952-04-01,343.7
222,1997-05-07,1952-04-01,352.5
224,2000-04-27,1952-04-01,352.4
225,2003-12-10,1952-04-01,352.2
226,2009-07-31,1952-04-01,352.1
227,2013-07-31,1952-04-01,361.4
228,2017-10-27,1952-04-01,361.414
229,2018-07-27,1952-04-01,361.03
230,1992-12-22,1952-07-01,349.6
232,1997-05-07,1952-07-01,358.7
234,2000-04-27,1952-07-01,358.8
235,2003-12-10,1952-07-01,358.5
236,2013-07-31,1952-07-01,368.1
237,2017-10-27,1952-07-01,368.084
238,2018-07-27,1952-07-01,367.70099999999996
239,1992-12-22,1952-10-01,362.2
241,1997-05-07,1952-10-01,371.4
243,2000-04-27,1952-10-01,371.8
244,2003-12-10,1952-10-01,371.4
245,2013-07-31,1952-10-01,381.2
246,2017-10-27,1952-10-01,381.241
247,2018-07-27,1952-10-01,380.81199999999995
248,1992-12-22,1953-01-01,369.0
250,1997-05-07,1953-01-01,378.5
252,2000-04-27,1953-01-01,378.9
253,2003-12-10,1953-01-01,378.4
254,2013-07-31,1953-01-01,388.5
255,2017-10-27,1953-01-01,388.472
256,2018-07-27,1953-01-01,387.98
257,1992-12-22,1953-04-01,372.4
259,1997-05-07,1953-04-01,382.1
261,2000-04-27,1953-04-01,382.5
262,2003-12-10,1953-04-01,382.0
263,2013-07-31,1953-04-01,392.3
264,2017-10-27,1953-04-01,392.259
265,2018-07-27,1953-04-01,391.749
266,1992-12-22,1953-07-01,371.8
268,1997-05-07,1953-07-01,381.6
270,2000-04-27,1953-07-01,381.7
271,2003-12-10,1953-07-01,381.1
272,2013-07-31,1953-07-01,391.7
273,2017-10-27,1953-07-01,391.69599999999997
274,2018-07-27,1953-07-01,391.171
275,1992-12-22,1953-10-01,366.8
277,1997-05-07,1953-10-01,376.6
279,2000-04-27,1953-10-01,376.6
280,2003-12-10,1953-10-01,375.9
281,2013-07-31,1953-10-01,386.5
282,2017-10-27,1953-10-01,386.52099999999996
283,2018-07-27,1953-10-01,385.97
284,1992-12-22,1954-01-01,366.3
286,1997-05-07,1954-01-01,376.4
288,2000-04-27,1954-01-01,376.0
289,2003-12-10,1954-01-01,375.3
290,2009-07-31,1954-01-01,375.2
291,2013-07-31,1954-01-01,385.9
292,2017-10-27,1954-01-01,385.92400000000004
293,2018-07-27,1954-01-01,385.345
294,1992-12-22,1954-04-01,366.6
296,1997-05-07,1954-04-01,376.9
298,2000-04-27,1954-04-01,376.7
299,2003-12-10,1954-04-01,376.0
300,2013-07-31,1954-04-01,386.7
301,2017-10-27,1954-04-01,386.716
302,2018-07-27,1954-04-01,386.121
303,1992-12-22,1954-07-01,371.2
305,1997-05-07,1954-07-01,381.7
307,2000-04-27,1954-07-01,381.5
308,2003-12-10,1954-07-01,380.8
309,2013-07-31,1954-07-01,391.6
310,2017-10-27,1954-07-01,391.596
311,2018-07-27,1954-07-01,390.996
312,1992-12-22,1954-10-01,379.4
314,1997-05-07,1954-10-01,390.1
316,2000-04-27,1954-10-01,390.1
317,2003-12-10,1954-10-01,389.5
318,2009-07-31,1954-10-01,389.4
319,2013-07-31,1954-10-01,400.3
320,2017-10-27,1954-10-01,400.348
321,2018-07-27,1954-10-01,399.73400000000004
322,1992-12-22,1955-01-01,392.3
324,1997-05-07,1955-01-01,402.9
326,2000-04-27,1955-01-01,403.1
327,2003-12-10,1955-01-01,402.6
328,2013-07-31,1955-01-01,413.8
329,2017-10-27,1955-01-01,413.75300000000004
330,2018-07-27,1955-01-01,413.07300000000004
331,1992-12-22,1955-04-01,400.6
333,1997-05-07,1955-04-01,411.3
335,2000-04-27,1955-04-01,411.4
336,2003-12-10,1955-04-01,410.9
337,2013-07-31,1955-04-01,422.2
338,2017-10-27,1955-04-01,422.226
339,2018-07-27,1955-04-01,421.532
340,1992-12-22,1955-07-01,408.9
342,1997-05-07,1955-07-01,419.8
344,2000-04-27,1955-07-01,419.9
345,2003-12-10,1955-07-01,419.5
346,2009-07-31,1955-07-01,419.4
347,2013-07-31,1955-07-01,430.9
348,2017-10-27,1955-07-01,430.925
349,2018-07-27,1955-07-01,430.221
350,1992-12-22,1955-10-01,415.2
352,1997-05-07,1955-10-01,426.4
354,2000-04-27,1955-10-01,426.4
355,2003-12-10,1955-10-01,426.0
356,2013-07-31,1955-10-01,437.8
357,2017-10-27,1955-10-01,437.787
358,2018-07-27,1955-10-01,437.092
359,1992-12-22,1956-01-01,417.6
361,1997-05-07,1956-01-01,429.0
363,2000-04-27,1956-01-01,428.8
364,2003-12-10,1956-01-01,428.3
365,2013-07-31,1956-01-01,440.5
366,2017-10-27,1956-01-01,440.491
367,2018-07-27,1956-01-01,439.746
368,1992-12-22,1956-04-01,423.1
370,1997-05-07,1956-04-01,434.7
372,2000-04-27,1956-04-01,434.7
373,2003-12-10,1956-04-01,434.2
374,2013-07-31,1956-04-01,446.8
375,2017-10-27,1956-04-01,446.77099999999996
376,2018-07-27,1956-04-01,446.01
377,1992-12-22,1956-07-01,427.8
379,1997-05-07,1956-07-01,439.6
381,2000-04-27,1956-07-01,439.7
382,2003-12-10,1956-07-01,439.3
383,2009-07-31,1956-07-01,439.2
384,2013-07-31,1956-07-01,452.0
385,2017-10-27,1956-07-01,451.983
386,2018-07-27,1956-07-01,451.191
387,1992-12-22,1956-10-01,436.5
389,1997-05-07,1956-10-01,448.5
391,2000-04-27,1956-10-01,448.6
392,2003-12-10,1956-10-01,448.1
393,2013-07-31,1956-10-01,461.3
394,2017-10-27,1956-10-01,461.278
395,2018-07-27,1956-10-01,460.463
396,1992-12-22,1957-01-01,444.9
398,1997-05-07,1957-01-01,457.2
400,2000-04-27,1957-01-01,457.6
401,2003-12-10,1957-01-01,457.2
402,2013-07-31,1957-01-01,470.6
403,2017-10-27,1957-01-01,470.57800000000003
404,2018-07-27,1957-01-01,469.779
405,1992-12-22,1957-04-01,446.6
407,1997-05-07,1957-04-01,459.0
409,2000-04-27,1957-04-01,459.6
410,2003-12-10,1957-04-01,459.2
411,2013-07-31,1957-04-01,472.8
412,2017-10-27,1957-04-01,472.835
413,2018-07-27,1957-04-01,472.025
414,1992-12-22,1957-07-01,453.9
416,1997-05-07,1957-07-01,466.4
418,2000-04-27,1957-07-01,466.8
419,2003-12-10,1957-07-01,466.4
420,2013-07-31,1957-07-01,480.3
421,2017-10-27,1957-07-01,480.315
422,2018-07-27,1957-07-01,479.49
423,1992-12-22,1957-10-01,449.0
425,1997-05-07,1957-10-01,461.6
427,2000-04-27,1957-10-01,462.0
428,2003-12-10,1957-10-01,461.5
429,2013-07-31,1957-10-01,475.7
430,2017-10-27,1957-10-01,475.681
431,2018-07-27,1957-10-01,474.86400000000003
432,1992-12-22,1958-01-01,441.6
434,1997-05-07,1958-01-01,454.0
436,2000-04-27,1958-01-01,454.6
437,2003-12-10,1958-01-01,454.0
438,2009-07-31,1958-01-01,453.9
439,2013-07-31,1958-01-01,468.4
440,2017-10-27,1958-01-01,468.353
441,2018-07-27,1958-01-01,467.54
442,1992-12-22,1958-04-01,445.8
444,1997-05-07,1958-04-01,458.3
446,2000-04-27,1958-04-01,458.9
447,2003-12-10,1958-04-01,458.1
448,2009-07-31,1958-04-01,458.0
