"date","gdp_value","value"
"1948-01-01","251.1","3.4"
"1948-01-01","251.1","3.5"
"1948-01-01","260.8","3.4"
"1948-01-01","260.8","3.5"
"1948-01-01","260.8","3.4"
"1948-01-01","260.8","3.5"
"1948-01-01","260.4","3.4"
"1948-01-01","260.4","3.5"
"1948-01-01","260.3","3.4"
"1948-01-01","260.3","3.5"
"1948-01-01","266.2","3.4"
"1948-01-01","266.2","3.5"
"1948-01-01","266.173","3.4"
"1948-01-01","266.173","3.5"
"1948-01-01","265.742","3.4"
"1948-01-01","265.742","3.5"
"1948-04-01","258.3","3.9"
"1948-04-01","258.3","4"
"1948-04-01","258.3","4.1"
"1948-04-01","258.3","4"
"1948-04-01","267.9","3.9"
"1948-04-01","267.9","4"
"1948-04-01","267.9","4.1"
"1948-04-01","267.9","4"
"1948-04-01","267.7","3.9"
"1948-04-01","267.7","4"
"1948-04-01","267.7","4.1"
"1948-04-01","267.7","4"
"1948-04-01","267.3","3.9"
"1948-04-01","267.3","4"
"1948-04-01","267.3","4.1"
"1948-04-01","267.3","4"
"1948-04-01","272.9","3.9"
"1948-04-01","272.9","4"
"1948-04-01","272.9","4.1"
"1948-04-01","272.9","4"
"1948-04-01","272.897","3.9"
"1948-04-01","272.897","4"
"1948-04-01","272.897","4.1"
"1948-04-01","272.897","4"
"1948-04-01","272.567","3.9"
"1948-04-01","272.567","4"
"1948-04-01","272.567","4.1"
"1948-04-01","272.567","4"
"1948-07-01","265.3","3.6"
"1948-07-01","265.3","3.7"
"1948-07-01","265.3","3.6"
"1948-07-01","265.3","3.7"
"1948-07-01","274.4","3.6"
"1948-07-01","274.4","3.7"
"1948-07-01","274.4","3.6"
"1948-07-01","274.4","3.7"
"1948-07-01","274.3","3.6"
"1948-07-01","274.3","3.7"
"1948-07-01","274.3","3.6"
"1948-07-01","274.3","3.7"
"1948-07-01","273.9","3.6"
"1948-07-01","273.9","3.7"
"1948-07-01","273.9","3.6"
"1948-07-01","273.9","3.7"
"1948-07-01","273.8","3.6"
"1948-07-01","273.8","3.7"
"1948-07-01","273.8","3.6"
"1948-07-01","273.8","3.7"
"1948-07-01","279.5","3.6"
"1948-07-01","279.5","3.7"
"1948-07-01","279.5","3.6"
"1948-07-01","279.5","3.7"
"1948-07-01","279.497","3.6"
"1948-07-01","279.497","3.7"
"1948-07-01","279.497","3.6"
"1948-07-01","279.497","3.7"
"1948-07-01","279.19599999999997","3.6"
"1948-07-01","279.19599999999997","3.7"
"1948-07-01","279.19599999999997","3.6"
"1948-07-01","279.19599999999997","3.7"
"1948-10-01","266.6","3.7"
"1948-10-01","266.6","3.6"
"1948-10-01","266.6","3.7"
"1948-10-01","275.8","3.7"
"1948-10-01","275.8","3.6"
"1948-10-01","275.8","3.7"
"1948-10-01","275.6","3.7"
"1948-10-01","275.6","3.6"
"1948-10-01","275.6","3.7"
"1948-10-01","275.2","3.7"
"1948-10-01","275.2","3.6"
"1948-10-01","275.2","3.7"
"1948-10-01","275.1","3.7"
"1948-10-01","275.1","3.6"
"1948-10-01","275.1","3.7"
"1948-10-01","280.7","3.7"
"1948-10-01","280.7","3.6"
"1948-10-01","280.7","3.7"
"1948-10-01","280.656","3.7"
"1948-10-01","280.656","3.6"
"1948-10-01","280.656","3.7"
"1948-10-01","280.366","3.7"
"1948-10-01","280.366","3.6"
"1948-10-01","280.366","3.7"
"1949-01-01","261.6","4.3"
"1949-01-01","261.6","4.4"
"1949-01-01","270.6","4.3"
"1949-01-01","270.6","4.4"
"1949-01-01","270.4","4.3"
"1949-01-01","270.4","4.4"
"1949-01-01","270","4.3"
"1949-01-01","270","4.4"
